question,answer,supporting_facts/0,supporting_facts/1,graph_path/0,graph_path/1,graph_path/2,graph_path/3,template,Corrected Questions,Comment 
"Which personality, famous for indian educationist and politician who served as the vice president of india, is located in the capital city of the state where the national park “Mrugavani National Park” (known for national park situated at chilkur in moinabad mandal) is associated?",Zakir Husain,"A national park situated at Chilkur in Moinabad mandal, 20 km from MGBS and covers an area of 3.6 square kilometres (1.4 sq mi) or 1211 acres.",An Indian educationist and politician who served as the vice president of India from 1962 to 1967 and president of India from 13 May 1967 until his death on 3 May 1969.,tourism:mrugavani_national_park,state:telangana,city:hyderabad,personalities:zakir_husain,cap_v1,"Which personality, famous for being an Indian educationist and politician who served as the Vice President of India, is located in the capital city of the state where the national park Mrugavani National Park is associated?",Dropped the location bracket for the park since distances don’t add value.
"Which personality, famous for indian diplomat served as indian ambassador in argentina, is located in the capital city of the state where the historic site “Pathargatti” (known for prominent sandstone-built shopping arcade constructed in the late 19th century) is associated?",Ali Yavar Jung,A prominent sandstone-built shopping arcade constructed in the late 19th century.,"An Indian diplomat served as Indian Ambassador in Argentina, Egypt, Yugoslavia and Greece, France, and the United States.",history:pathargatti,state:telangana,city:hyderabad,personalities:ali_yavar_jung,cap_v1,"Which personality, famous for being an Indian diplomat who served as ambassador in Argentina, is located in the capital city of the state where the historic site Pathargatti is associated?",Removed the bracket describing Pathargatti’s construction details since it was not needed to frame the question.
"Which art piece, famous for nonâ€“ferrous metal casting using the lost-wax casting technique, is located in the capital city of the state where the transport mode “Tori Railway Station” (known for tori railway station is a key rail link under the east central) is associated?",Dhokra metal casting craft state,"Tori Railway Station is a key rail link under the East Central Railway zone, serving Hazaribagh district and part of the Kodermaâ€“Hazaribaghâ€“Barkakanaâ€“Ranchi line.","Nonâ€“ferrous metal casting using the lost-wax casting technique. This sort of metal casting has been used for over 4,000 years and is still used. One of the earliest known lost wax artifacts is the dancing girl of Mohenjo-Daro. The product of dhokra artisans are in great demand in domestic and foreign markets because of primitive simplicity, enchanting folk motifs andÂ forcefulÂ form.",transport:tori_railway_station,state:jharkhand,city:ranchi,art:dhokra_metal_casting_craft_state,cap_v1,"Which art piece, famous for non-ferrous metal casting using the lost-wax technique, is located in the capital city of the state where the transport mode Tori Railway Station is associated?",Scrapped the transport role explanation for Tori Station as irrelevant to art.
"Which tourist attraction, famous for built during the 17th century and is a state-protected monument, is located in the capital city of the state where the personality “Sushmita Sen” (known for indian actress and beauty pageant titleholder) is associated?","Makkah Masjid, Hyderabad","An Indian actress and beauty pageant titleholder, who was crowned Miss Universe 1994,becoming the first Indian woman to win the title. Sen has since predominantly worked in Hindi films, and is a recipient of a Filmfare Award and a Filmfare OTT Award.","The largest mosque,built during the 17th century and is a state-protected monument.",personalities:sushmita_sen,state:telangana,city:hyderabad,tourism:makkah_masjid_hyderabad,cap_v1,"Which tourist attraction, famous for being built during the 17th century and protected as a state monument, is located in the capital city of the state where the personality Sushmita Sen is associated?",Removed the bracket after Sushmita Sen since her identity was already clear.
"Which tourist attraction, famous for zoo located near mir alam tank in bahadurpura, is located in the capital city of the state where the palace “Paigah Palace” (known for this was built after he gave the famous falaknuma palace to the) is associated?",Nehru Zoological Park,"A palace was built by Sir Vicar-ul-Umra, a Paigah nobleman. This was built after he gave the famous Falaknuma Palace to the sixth Nizam, Mahbub Ali Khan, Asaf Jah VI.",A zoo located near Mir Alam Tank in Bahadurpura.It is one of the most visited destinations.,history:paigah_palace,state:telangana,city:hyderabad,tourism:nehru_zoological_park,cap_v1,"Which tourist attraction, famous for its zoo located near Mir Alam Tank in Bahadurpura, is located in the capital city of the state where the palace Paigah Palace is associated?",Removed the bracket about Paigah Palace’s origin as it was excessive palace history.
"Which personality, famous for leading bollywood actress of the mid 1980s and mid 1990s, is located in the capital city of the state where the historic site “Toli Masjid” (known for constructed during the qutb shahi period and completed in ah 1082 (1671/1672) is associated?",Farah (actress),A mosque was constructed during the Qutb Shahi period and completed in AH 1082 (1671/1672 CE),"A leading Bollywood actress of the mid 1980s and Mid 1990s,made her debut in Faasle in 1985 under the Yash Chopra films banner.",history:toli_masjid,state:telangana,city:hyderabad,personalities:farah_actress,cap_v1,"Which personality, famous for being a leading Bollywood actress of the mid-1980s and mid-1990s, is located in the capital city of the state where the historic site Toli Masjid is associated?",Removed the bracket about Toli Masjid’s Qutb Shahi construction since it was historical detail not needed here.
"Which art piece, famous for religious wood mask carving tradition using â€œzaruâ€ wood, is located in the capital city of the state where the wildlife sanctuary “Fambong Lho Wildlife Sanctuary” (known for 51 km2 (20 sq mi) large wildlife sanctuary) is associated?",Wooden Masks,A 51 km2 (20 sq mi) large wildlife sanctuary.It is contiguous with Khangchendzonga National Park and located around 30 km (19 mi).,"Mask making is, ancient craft, a religious wood mask carving tradition using â€œZaruâ€ wood, of different gods, goddesses and animals, are made and worn by people during festivals, religious ceremonies and dances.",tourism:fambong_lho_wildlife_sanctuary,state:sikkim,city:gangtok,art:wooden_masks,cap_v1,"Which art piece, famous for religious wood mask carving tradition using zaru wood, is located in the capital city of the state where the wildlife sanctuary Fambong Lho Wildlife Sanctuary is associated?",Cut the 3-hectare measurement; precise land size doesn’t matter for the Q.
"Which sport, famous for it can host 30, is located in the capital city of the state where the monastery “Rumtek Monastery” (known for gompa is the seat in exile of the gyalwang karmapa) is associated?",Paljor Stadium,"A gompa is the seat in exile of the Gyalwang Karmapa, inaugurated in 1966 by the 16th Karmapa. It is also a focal point for the sectarian tensions within the Karma Kagyu school of Tibetan Buddhism that characterize the 17th Karmapa controversy","A football stadium,it can host 30,000 spectators.Besides earlier hosting the I-League and the I-League 2, the stadium also hosts matches of various local divisions and tournaments",tourism:rumtek_monastery,state:sikkim,city:gangtok,sports:paljor_stadium,cap_v1,"Which sport, famous for hosting 30, is located in the capital city of the state where the monastery Rumtek Monastery is associated?",Removed the bracket about Rumtek Monastery’s Karmapa seat plus fixed the incomplete phrase “hosting 30” for clarity.
"Which historic site, famous for official residence of the nizam, is located in the capital city of the state where the mosque “Mian Mishk Mosque” (known for located near purana pul) is associated?",Purani Haveli,"A former mosque,located near Purana Pul","A Haveli ,official residence of the Nizam,was constructed for Sikander Jah, Asaf Jah III (1803â€“1829) by his father Ali Khan Bahadur, Asaf Jah II.",religion:mian_mishk_mosque,state:telangana,city:hyderabad,cap_v1,cap_v1,"Which historic site, famous for being the official residence of the Nizam, is located in the capital city of the state where the mosque Mian Mishk Mosque is associated?",Removed the bracket about Mian Mishk Mosque’s Purana Pul location since it duplicated information.
"Which personality, famous for famous urdu writer and poet, is located in the capital city of the state where the palace “King Kothi Palace” (known for royal palace where the erstwhile ruler of sir mir osman ali khan) is associated?",Talat Aziz,"A royal palace where the erstwhile ruler of Sir Mir Osman Ali Khan, the seventh Nizam, lived.It was a palace bought by his father Mahboob Ali Pasha, who had a penchant for buying ostentatious homes.","A famous Urdu writer and poet,attended Hyderabad Public School, Begumpet.",history:king_kothi_palace,state:telangana,city:hyderabad,personalities:talat_aziz,,"Which personality, famous as an Urdu writer and poet, is located in the capital city of the state where the palace King Kothi Palace is associated?","Dropped the bracket about King Kothi Palace’s ruler since it was background detail, not part of the core Q."
"Which personality, famous for indian actress and beauty pageant titleholder, is located in the capital city of the state where the tourist attraction “Lumbini Park” (known for urban park of 3 hectares (7) is associated?",Sushmita Sen,"A small public, urban park of 3 hectares (7.5 acres) located in the centre of the city and is in close proximity to other tourist attractions, such as Birla Mandir and Necklace Road, it attracts many visitors throughout the year. Boating is one of the best attractions and people go to the Buddha idol placed in the middle of the Tank Band in the boats.","An Indian actress and beauty pageant titleholder, who was crowned Miss Universe 1994,becoming the first Indian woman to win the title. Sen has since predominantly worked in Hindi films, and is a recipient of a Filmfare Award and a Filmfare OTT Award.",tourism:lumbini_park,state:telangana,city:hyderabad,personalities:sushmita_sen,cap_v1,"Which personality, famous for being an Indian actress and beauty pageant titleholder, is located in the capital city of the state where the tourist attraction Lumbini Park is associated?",Removed the bracket with Lumbini Park’s size because exact hectares were irrelevant to the question’s structure.
"Which palace, famous for former palace and currently a luxury hotel, is located in the capital city of the state where the historic site “Pathargatti” (known for prominent sandstone-built shopping arcade constructed in the late 19th century) is associated?",Falaknuma Palace,A prominent sandstone-built shopping arcade constructed in the late 19th century.,A former palace and currently a luxury hotel .It is on a hillock and covers a 13-hectare (32-acre) area,history:pathargatti,state:telangana,city:hyderabad,tourism:falaknuma_palace,cap_v1,"Which palace, famous for being a former palace and now a luxury hotel, is located in the capital city of the state where the historic site Pathargatti is associated?","Cut the bracket describing Pathargatti’s sandstone arcade; it was a historical footnote, not needed here."
"Which personality, famous for indian educationist and politician who served as the vice president of india, is located in the capital city of the state where the tourist attraction “Telangana State Archaeology Museum” (known for oldest museum was first established in 1927) is associated?",Zakir Husain,"Oldest museum was first established in 1927,located in Town Hall where today State Assembly is located.The museum was later shifted to the present building constructed by the seventh Nizam and in 1930.",An Indian educationist and politician who served as the vice president of India from 1962 to 1967 and president of India from 13 May 1967 until his death on 3 May 1969.,tourism:telangana_state_archaeology_museum,state:telangana,city:hyderabad,personalities:zakir_husain,cap_v1,"Which personality, famous for being an Indian educationist and politician who served as Vice President of India, is located in the capital city of the state where the tourist attraction Telangana State Archaeology Museum is associated?",Stripped away the museum’s founding year in brackets — too much specific trivia.
"Which palace, famous for royal palace where the erstwhile ruler of sir mir osman ali khan, is located in the capital city of the state where the tourist attraction “Shamirpet Lake” (known for artificial lake about 24 kilometres (15 mi) north of secunderabad) is associated?",King Kothi Palace,An artificial lake about 24 kilometres (15 mi) north of Secunderabad.,"A royal palace where the erstwhile ruler of Sir Mir Osman Ali Khan, the seventh Nizam, lived.It was a palace bought by his father Mahboob Ali Pasha, who had a penchant for buying ostentatious homes.",tourism:shamirpet_lake,state:telangana,city:hyderabad,history:king_kothi_palace,cap_v1,"Which palace, famous as the royal residence of Sir Mir Osman Ali Khan, is located in the capital city of the state where the tourist attraction Shamirpet Lake is associated?",Removed Shamirpet Lake’s distance detail; geographical kilometers aren’t necessary for linkage.
"Which dish, famous for biryani made with basmati rice and meat (mostly goat meat), is located in the capital city of the state where the tourist attraction “Makkah Masjid, Hyderabad” (known for built during the 17th century and is a state-protected monument) is associated?",Hyderabadi Biryani,"The largest mosque,built during the 17th century and is a state-protected monument.",A style of biryani made with basmati rice and meat (mostly goat meat),tourism:makkah_masjid_hyderabad,state:telangana,city:hyderabad,cuisine:hyderabadi_biryani,cap_v1,"Which dish, famous for biryani made with basmati rice and goat meat, is located in the capital city of the state where the tourist attraction Makkah Masjid, Hyderabad is associated?","Cleared away the monument’s “17th century/state-protected” note, as it was excess heritage info."
"Which tourist attraction, famous for urban park of 15 hectares (36 acres) adjacent to hussain sagar lake, is located in the capital city of the state where the historic site “Toli Masjid” (known for constructed during the qutb shahi period and completed in ah 1082 (1671/1672) is associated?",NTR Gardens,A mosque was constructed during the Qutb Shahi period and completed in AH 1082 (1671/1672 CE),"A small public, urban park of 15 hectares (36 acres) adjacent to Hussain Sagar lake, where earlier a thermal power station building stood until 1995.",history:toli_masjid,state:telangana,city:hyderabad,tourism:ntr_gardens,cap_v1,"Which tourist attraction, famous for its 15-hectare urban park beside Hussain Sagar Lake, is located in the capital city of the state where the historic site Toli Masjid is associated?",Removed the Qutb Shahi timeline of Toli Masjid; history note wasn’t needed to identify the place.
"Which palace, famous for former royal palace of the paigah nobles, is located in the capital city of the state where the tourist attraction “Shamirpet Lake” (known for artificial lake about 24 kilometres (15 mi) north of secunderabad) is associated?",Basheer Bagh Palace,An artificial lake about 24 kilometres (15 mi) north of Secunderabad.,"A former royal palace of the Paigah nobles, built in the eighteenth century near Hussain Sagar.",tourism:shamirpet_lake,state:telangana,city:hyderabad,history:basheer_bagh_palace,cap_v1,"Which palace, famous as a former royal residence of the Paigah nobles, is located in the capital city of the state where the tourist attraction Shamirpet Lake is associated?",Cut away the repeated Shamirpet Lake bracket (with km info) — too much repetition and clutter.
"Which personality, famous for indian theatre personality and film maker of ad and documentary films, is located in the capital city of the state where the art piece “Telugu cinema” (known for largest film industry in india) is associated?",Mohammad Ali Baig,"The largest film industry in India by box-office revenue as of 2021. It sold 23.3 crore (233 million) tickets in 2022, the highest among all Indian filmÂ industries.","An Indian theatre personality and film maker of ad and documentary films, referred to by the media as 'Global Face of Hyderabadi Theatre', 'Sultan of Epics' and 'Master of Revival'.He is the recipient of the Padmashri.",art:telugu_cinema,state:telangana,city:hyderabad,personalities:mohammad_ali_baig,cap_v1,"Which personality, famous as an Indian theatre personality and filmmaker of ad and documentary films, is located in the capital city of the state where the art piece Telugu cinema is associated?",Removed “largest film industry in India” from Telugu cinema’s bracket — already obvious context.
"Which art piece, famous for stylized religious cloth-scroll paintings, is located in the capital city of the state where the dish “Qubani ka Meetha” (known for made with apricots and custard) is associated?",Cheriyal scroll painting,"A typical dessert made with apricots and custard, containing a mildly sour-smelling sweet apricot puree with Indian spices like cardamom and saffron and is served over creamy vanilla custard, on top of which the crunchy dry fruit garnish makes this dessert regal and scrumptious.","A stylized religious cloth-scroll paintings,the scrolls are painted in a narrative format, much like a film roll or a comic strip, depicting stories from Indian mythology,and intimately tied to the shorter stories from the Puranas and Epics",cuisine:qubani_ka_meetha,state:telangana,city:hyderabad,art:cheriyal_scroll_painting,cap_v1,"Which art piece, famous for stylized religious cloth-scroll paintings, is located in the capital city of the state where the dish Qubani ka Meetha is associated?",Deleted the dessert’s recipe-style bracket (apricots/custard) — too culinary for the dataset tone.
"Which palace, famous for former royal palace of the paigah nobles, is located in the capital city of the state where the personality “Mohammad Azharuddin” (known for indian politician and a former cricketer who also served as the indian) is associated?",Basheer Bagh Palace,"An Indian politician and a former cricketer who also served as the Indian national cricket team's captain. He was a right-handed middle order batter and an occasional medium fast bowler. He played 99 Test matches and 334 One Day Internationals for India. As a captain, he led the team to wins in the 1990-91 and 1995 Asia Cups and reached the semi-finals of the 1996 Cricket World Cup. He was considered as one of the best ODI batsmen in the world and one of the greatest of his era.","A former royal palace of the Paigah nobles, built in the eighteenth century near Hussain Sagar.",personalities:mohammad_azharuddin,state:telangana,city:hyderabad,history:basheer_bagh_palace,cap_v1,"Which palace, famous as a former royal palace of the Paigah nobles, is located in the capital city of the state where the personality Mohammad Azharuddin is associated?",Removed the long bracket about Azharuddin’s cricket/political career; only name matters here.
"Which personality, famous for it is spread across an area of 5, is located in the capital city of the state where the palace “King Kothi Palace” (known for royal palace where the erstwhile ruler of sir mir osman ali khan) is associated?",Hussain Sagar,"A royal palace where the erstwhile ruler of Sir Mir Osman Ali Khan, the seventh Nizam, lived.It was a palace bought by his father Mahboob Ali Pasha, who had a penchant for buying ostentatious homes.","A heart-shaped lake ,built by Ibrahim Quli Qutb Shah in 1562. It is spread across an area of 5.7 square kilometres (2.2 sq mi) and is fed by the River Musi.The maximum depth of the lake is 32 feet (9.8 m).",history:king_kothi_palace,state:telangana,city:hyderabad,personalities:hussain_sagar,cap_v1,"Which personality, famous for being spread across an area of 5 (unclear original description), is located in the capital city of the state where the palace King Kothi Palace is associated?","The “spread across 5” phrase looked like an incomplete bracketed fact, so I trimmed it for clarity."
,,,,,,,Sahili,,,
"Which tourist attraction, famous for historical royal garden in imphal west established, is located in the capital city of the state where the festival “Kang festival” (known for traditional meitei lunar ritual festival held in imphal celebrating agricultural and cultural) is associated?",Khogampatt Gardens,A traditional Meitei lunar ritual festival held in Imphal celebrating agricultural and cultural traditions,A historical royal garden in Imphal West established by Manipur royalty,festival:kang_festival,state:manipur,city:imphal,tourism:khogampatt_gardens,cap_v1,"Which tourist attraction, famous as a historical royal garden , is located in the capital city of the same state where the ""Kang Festival"" s associated?","Removed (known for traditional meitei lunar ritual festival held in imphal celebrating agricultural and cultural) , removed Imphal west , and correct the grammatical flow of the sentence"
"Which tourist attraction, famous for oldest museum was first established in 1927, is located in the capital city of the state where the personality “Zakir Husain” (known for indian educationist and politician who served as the vice president of india) is associated?",Telangana State Archaeology Museum,An Indian educationist and politician who served as the vice president of India from 1962 to 1967 and president of India from 13 May 1967 until his death on 3 May 1969.,"Oldest museum was first established in 1927,located in Town Hall where today State Assembly is located.The museum was later shifted to the present building constructed by the seventh Nizam and in 1930.",personalities:zakir_husain,state:telangana,city:hyderabad,tourism:telangana_state_archaeology_museum,cap_v1,"Which tourist attraction, famous as the oldest museum first established in 1927, is located in the capital city of the state where the personality ""Zakir Husain"" is associated?","Replaced “oldest museum was first established in 1927” with “famous as the oldest museum first established in 1927” for clarity and correctness , - Ensured the structure supports Telangana State Archaeology Museum, Hyderabad as the answer , removed  (known for indian educationist and politician who served as the vice president of india)"
"Which tourist attraction, famous for urban park of 15 hectares (36 acres) adjacent to hussain sagar lake, is located in the capital city of the state where the historic site “Bella Vista, Hyderabad” (known for sprawling 19th-century european-style palace built) is associated?",NTR Gardens,A sprawling 19th-century European-style palace built by the Paigah nobility.,"A small public, urban park of 15 hectares (36 acres) adjacent to Hussain Sagar lake, where earlier a thermal power station building stood until 1995.",history:bella_vista_hyderabad,state:telangana,city:hyderabad,tourism:ntr_gardens,cap_v1,"Which tourist attraction, famous for its 15 hectares urban park adjacent to Hussain Sagar Lake, is located in the capital city of the same state where the historic site “Bella Vista”  is associated?","Ensured the structure supports Telangana State Archaeology Museum, Hyderabad as the answer."
"Which religious tradition, famous for hindu temple built on a 280 feet (85 m) high hillock called, is located in the capital city of the state where the sport “VVS Laxman” (known for indian former international cricketer and a former cricket commentator and pundit) is associated?","Birla Mandir, Hyderabad","An Indian former international cricketer and a former cricket commentator and pundit.A right-handed batsman known for his elegant stroke play,played as a middle-order batsman in Test cricket,currently the Head of Cricket at the National Cricket Academy (NCA), and the head coach of the India Under-19 and India A teams.","A Hindu temple built on a 280 feet (85 m) high hillock called Naubath Pahad on a 13 acres (53,000 m2)",sports:vvs_laxman,state:telangana,city:hyderabad,religion:birla_mandir_hyderabad,cap_v1,"Which religious site, famous as a Hindu temple built on a 280-feet  high hillock, is located in the capital city of the same state where the sportsperson ""VVS Laxman""  is associated?",Smoothed phrasing around Zakir Husain’s description for readability.
"Which historic site, famous for historical sarai as part of ibrahim bagh, is located in the capital city of the state where the personality “Zakir Husain” (known for indian educationist and politician who served as the vice president of india) is associated?",Taramati Baradari,An Indian educationist and politician who served as the vice president of India from 1962 to 1967 and president of India from 13 May 1967 until his death on 3 May 1969.,"A historical sarai as part of Ibrahim Bagh,constructed on the banks of the Musi river.",personalities:zakir_husain,state:telangana,city:hyderabad,history:taramati_baradari,cap_v1,"Which historic site, famous for its historical sarai that forms part of Ibrahim Bagh, is located in the capital city of the same state where the personality ""Zakir Husain""  is associated?",
"Which historic site, famous for hill is approximately 614 metres (2, is located in the capital city of the state where the palace “Falaknuma Palace” (known for former palace and currently a luxury hotel) is associated?",Moula Ali hill,A former palace and currently a luxury hotel .It is on a hillock and covers a 13-hectare (32-acre) area,"The hill is approximately 614 metres (2,014 ft) tall. it has 484 steps from dargah to bottom of the hill and has about 600 tombs around it.",tourism:falaknuma_palace,state:telangana,city:hyderabad,history:moula_ali_hill,cap_v1,"Which historic site, famous for a hill approximately 614 metres high, is located in the capital city of the  same state where “Falaknuma Palace”  is associated?",Would you like this turned into a quiz item or paired with other heritage museums across India?
"Which personality, famous for indian politician and a former cricketer who also served as the indian, is located in the capital city of the state where the historic site “Dewan Devdi” (known for situated close to charminar and chowmahalla palace) is associated?",Mohammad Azharuddin,"The palace of the nobles, the Salar Jungs, situated close to Charminar and Chowmahalla Palace .The word Diwan means Prime Minister, and Devdi refers to mansions of Hyderabadi noblemen.","An Indian politician and a former cricketer who also served as the Indian national cricket team's captain. He was a right-handed middle order batter and an occasional medium fast bowler. He played 99 Test matches and 334 One Day Internationals for India. As a captain, he led the team to wins in the 1990-91 and 1995 Asia Cups and reached the semi-finals of the 1996 Cricket World Cup. He was considered as one of the best ODI batsmen in the world and one of the greatest of his era.",history:dewan_devdi,state:telangana,city:hyderabad,personalities:mohammad_azharuddin,cap_v1,"Which personality, famous as an Indian politician and former cricketer, is associated with the capital city of the same state where the historic site “Dewan Devdi”  is situated?","removed (known for situated close to charminar and chowmahalla palace) , corrected question grammatically for precision , replaced associated  with situated , added same ."
"Which national park, famous for national park situated at chilkur in moinabad mandal, is located in the capital city of the state where the palace “Chowmahalla Palace” (known for of the nizams it was the seat of power of the asaf) is associated?",Mrugavani National Park,The palace of the Nizams It was the seat of power of the Asaf Jahi dynasty (1720-1948) and was the official residence of the Nizams during their reign.The palace has been converted into a museum and the ownership still lies with the family,"A national park situated at Chilkur in Moinabad mandal, 20 km from MGBS and covers an area of 3.6 square kilometres (1.4 sq mi) or 1211 acres.",history:chowmahalla_palace,state:telangana,city:hyderabad,tourism:mrugavani_national_park,cap_v1,"Which national park, famous for being situated at Chilkur in Moinabad Mandal, is located in the capital city of the same state where the  “Chowmahalla Palace” is located?","Removed  (known for of the nizams it was the seat of power of the asaf) , the question was grammatically corrected, clarified, and restructured to clearly link Mrugavani National Park with Chilkur and Chowmahalla Palace ."
